stopid;stopname;stopsite;latitude;longitude;syscode;system;muni
106096;Davis at Battie (SB);SB_Davis_FS_Battie;48.973807;-123.805654;COW;Cowichan Valley Regional Transit System;Ladysmith
106097;Davis at Hall (SB);SB_Davis_FS_Hall;48.969449;-123.799765;COW;Cowichan Valley Regional Transit System;Ladysmith
106098;Davis at Craig (SB);SB_Davis_FS_Craig;48.969133;-123.79703;COW;Cowichan Valley Regional Transit System;Ladysmith
106099;Davis at Russell (SB);SB_Davis_AT_Russell;48.968739;-123.794124;COW;Cowichan Valley Regional Transit System;Ladysmith
106101;170 Blk Westdowne Rd (SB);SB_170 Blk Westdowne Rd;48.958735;-123.780186;COW;Cowichan Valley Regional Transit System;Ladysmith
106100;Davis at Farrell Rd (WB);WB_Davis_AT_Farrell Rd;48.968292;-123.791287;COW;Cowichan Valley Regional Transit System;Ladysmith
106102;Davis at Louise Rd (WB);WB_Davis_AT_Louise Rd;48.968757;-123.793736;COW;Cowichan Valley Regional Transit System;Ladysmith
106103;Davis at McNiven (WB);WB_Davis_AT_McNiven Rd;48.969113;-123.795849;COW;Cowichan Valley Regional Transit System;Ladysmith
106104;Davis at Hall (WB);WB_Davis_NS_Hall;48.969556;-123.799805;COW;Cowichan Valley Regional Transit System;Ladysmith
106105;Davis at Battie (NB);NB_Davis_NS_Battie;48.973932;-123.805579;COW;Cowichan Valley Regional Transit System;Ladysmith
106106;Dogwood at Arbutus (WB);WB_Dogwood_NS_Arbutus;48.976041;-123.807076;COW;Cowichan Valley Regional Transit System;Ladysmith
106107;Dogwood at Arbutus (NB);NB_Dogwood_FS_Arbutus;48.978036;-123.809757;COW;Cowichan Valley Regional Transit System;Ladysmith
106108;Dogwood at Holland Creek (NB);NB_Dogwood_FS_Holland Creek;48.983723;-123.809369;COW;Cowichan Valley Regional Transit System;Ladysmith
106109;Dogwood at 280 Blk (NB);NB_Dogwood_AT_280 Blk;48.985259;-123.811299;COW;Cowichan Valley Regional Transit System;Ladysmith
106110;Dogwood at Belaire St (NB);NB_Dogwood_AT_Belaire St;48.987426;-123.813786;COW;Cowichan Valley Regional Transit System;Ladysmith
136364;Cowichan Bay at Tzouhalem (EB);EB_Cowichan Bay_NS_Tzouhalem;48.755354;-123.655184;COW;Cowichan Valley Regional Transit System;Cowichan Valley D
