stopid;stopname;stopsite;latitude;longitude;syscode;system;muni
800004;Lansdowne Exchange;Lansdowne Exchange;50.676807;-120.326991;KAM;Kamloops Transit System;Kamloops
800007;North Shore Exchange;North Shore Exchange;50.697916;-120.359841;KAM;Kamloops Transit System;Kamloops
800014;TRU Exchange;TRU Exchange;50.671095;-120.368818;KAM;Kamloops Transit System;Kamloops
151000;1800 block Versatile (EB);EB_1800 Block ;50.65876;-120.396078;KAM;Kamloops Transit System;Kamloops
151001;1700 blcok Versatile (EB);EB_1700_block_Versatile;50.656057;-120.3901;KAM;Kamloops Transit System;Kamloops
151002;1500 block Versatile (EB);Eastbound 1500 block Versatile;50.654734;-120.385148;KAM;Kamloops Transit System;Kamloops
151003;Victoria at 8th (WB);WB_Victoria_NS_8th;50.675882;-120.321295;KAM;Kamloops Transit System;Kamloops
104580;Springhill 1470 block (WB);WB_1470_block_Springhill;50.660981;-120.347472;KAM;Kamloops Transit System;Kamloops
104581;Springhill 1560 block (SB);SB_1560_block_Springhill;50.661025;-120.351903;KAM;Kamloops Transit System;Kamloops
104582;Springhill at Springfield (SB);SB_Springhill_NS_Springfield;50.65932;-120.355717;KAM;Kamloops Transit System;Kamloops
104583;Springhill at Lasage (SB);SB_Springhill_FS_Lasage;50.655215;-120.357607;KAM;Kamloops Transit System;Kamloops
104584;Springhill at Gleneagles (WB);WB_Springhill_NS_Gleneagles;50.653699;-120.359607;KAM;Kamloops Transit System;Kamloops
104585;Springhill at Gleneagles (SB);SB_Springhill_NS_Gleneagles;50.653149;-120.361952;KAM;Kamloops Transit System;Kamloops
104586;Gleneagles at Glen Gary (SB);SB_Gleneagles_FS_Glen Gary;50.651025;-120.358435;KAM;Kamloops Transit System;Kamloops
104587;Gleneagles at Wentworth (EB);EB_Gleneagles_FS_Wentworth;50.65027;-120.355951;KAM;Kamloops Transit System;Kamloops
104588;Gleneagles at Skagit (NB);NB_Gleneagles_FS_Skagit;50.652533;-120.353534;KAM;Kamloops Transit System;Kamloops
104589;Gleneagles at Monarch (NB);NB_Gleneagles_FS_Monarch;50.653803;-120.351132;KAM;Kamloops Transit System;Kamloops
104590;Gleneagles 400 block (SB);SB_400_block_Gleneagles;50.654032;-120.347474;KAM;Kamloops Transit System;Kamloops
104591;Whistler at Gleneagles (SB);SB_Whistler_FS_Gleneagles;50.651773;-120.344239;KAM;Kamloops Transit System;Kamloops
104592;Whistler Dr at Whistler Pl (EB);EB_Whistler Dr_NS_Whistler Pl;50.650816;-120.342449;KAM;Kamloops Transit System;Kamloops
104593;Robson at Hollyburn (WB);WB_Robson_NS_Hollyburn;50.649811;-120.342111;KAM;Kamloops Transit System;Kamloops
104594;Robson 300 block (WB);WB_300_block_Robson;50.650448;-120.344721;KAM;Kamloops Transit System;Kamloops
104595;Robson at Breakenridge (WB);WB_Robson_FS_Breakenridge;50.649848;-120.347778;KAM;Kamloops Transit System;Kamloops
104596;Robson at Gladstone (WB);WB_Robson_FS_Gladstone;50.649443;-120.353955;KAM;Kamloops Transit System;Kamloops
104597;Robson at Gladstone (SB);SB_Robson_NS_Gladstone;50.647665;-120.353647;KAM;Kamloops Transit System;Kamloops
104598;Summit at Monteith (EB);EB_Summit_NS_Monteith;50.646412;-120.351439;KAM;Kamloops Transit System;Kamloops
104599;Summit at Hollyburn (EB);EB_Summit_NS_Hollyburn;50.646856;-120.34769;KAM;Kamloops Transit System;Kamloops
104600;Summit at Tremerton (EB);EB_Summit_FS_Tremerton;50.647745;-120.342416;KAM;Kamloops Transit System;Kamloops
104601;Summit at Robson (EB);EB_Summit_FS_Robson;50.648231;-120.339712;KAM;Kamloops Transit System;Kamloops
104602;Summit at Gleneagles (WB);WB_Summit_FS_Gleneagles;50.652502;-120.341651;KAM;Kamloops Transit System;Kamloops
104603;Summit at Waddington (NB);NB_Summit_FS_Waddington;50.654901;-120.344374;KAM;Kamloops Transit System;Kamloops
104605;Summit at Freshfield (NB);NB_Summit_FS_Freshfield;50.656243;-120.340899;KAM;Kamloops Transit System;Kamloops
104606;Summit at Gordonhorn (WB);WB_Summit_NS_Gordonhorn;50.659263;-120.339764;KAM;Kamloops Transit System;Kamloops
104608;Summit at Springhill (WB);WB_Summit_FS_Springhill;50.660801;-120.345443;KAM;Kamloops Transit System;Kamloops
104609;McGill at Camosun (WB);WB_McGill_NS_Camosun;50.667598;-120.367171;KAM;Kamloops Transit System;Kamloops
104610;TRU Exchange Bay C;TRU_Exchange_Bay_C;50.67114;-120.368204;KAM;Kamloops Transit System;Kamloops
104611;McGill Rd at McGill Pl (NB);NB_McGill Rd_FS_McGill Pl;50.66945;-120.373034;KAM;Kamloops Transit System;Kamloops
104612;McGill at McMaster (NB);NB_McGill_FS_McMaster;50.671754;-120.374008;KAM;Kamloops Transit System;Kamloops
104613;McGill at Concordia (NB);NB_McGill_FS_Concordia;50.673827;-120.375888;KAM;Kamloops Transit System;Kamloops
104614;North Shore Exchange Bay F;North_Shore_Exchange_Bay_F;50.697869;-120.360408;KAM;Kamloops Transit System;Kamloops
104615;McGill at Concordia (SB);SB_McGill_FS_Concordia;50.673363;-120.375663;KAM;Kamloops Transit System;Kamloops
104617;McGill Rd at McGill Pl (SB);SB_McGill Rd_FS_McGill Pl;50.668948;-120.373112;KAM;Kamloops Transit System;Kamloops
104618;North Shore Exchange Bay A ;North_Shore_Exchange_Bay_A_;50.69778;-120.360159;KAM;Kamloops Transit System;Kamloops
104619;Halston 710 block (EB);EB_710_block_Halston;50.710685;-120.359653;KAM;Kamloops Transit System;Kamloops
104620;Halston Connector at Salish (SB);SB_Halston Connector_FS_Salish;50.711772;-120.335516;KAM;Kamloops Transit System;Kamloops 1
104624;Old Highway 5 6790 block (NB);NB_6790_block_Old Highway 5;50.851022;-120.266824;KAM;Kamloops Transit System;Kamloops
104625;Old Highway 5 at Creek (NB);NB_Old Highway 5_FS_Creek;50.860331;-120.265356;KAM;Kamloops Transit System;Kamloops
104626;Puett Ranch at Old Highway 5 (WB);WB_Puett Ranch_FS_Old Highway 5;50.797363;-120.312439;KAM;Kamloops Transit System;Kamloops
104627;Cammeray at Puett Ranch (NB);NB_Cammeray_FS_Puett Ranch;50.797771;-120.314852;KAM;Kamloops Transit System;Kamloops
104628;Cammeray at Strawberry (NB);NB_Cammeray_FS_Strawberry;50.799786;-120.31467;KAM;Kamloops Transit System;Kamloops
104629;Cammeray at Chilco (NB);NB_Cammeray_FS_Chilco;50.803154;-120.312396;KAM;Kamloops Transit System;Kamloops
104630;Reighmount at Pinantan (WB);WB_Reighmount_NS_Pinantan;50.804129;-120.312676;KAM;Kamloops Transit System;Kamloops
104631;Reighmount at Kathleen (WB);WB_Reighmount_NS_Kathleen;50.804958;-120.317971;KAM;Kamloops Transit System;Kamloops
104632;Aspen Park at Spurraway (SB);SB_Aspen Park_FS_Spurraway;50.803978;-120.321101;KAM;Kamloops Transit System;Kamloops
104633;Aspen Park at Helmcken (SB);SB_Aspen Park_NS_Helmcken;50.801138;-120.323068;KAM;Kamloops Transit System;Kamloops
104634;Spurraway at Helmcken (SB);SB_Spurraway_FS_Helmcken;50.80058;-120.32043;KAM;Kamloops Transit System;Kamloops
104635;Spurraway at Puett Ranch (SB);SB_Spurraway_NS_Puett Ranch;50.797579;-120.320376;KAM;Kamloops Transit System;Kamloops
104636;Furiak at Puett Ranch (SB);SB_Furiak_FS_Puett Ranch;50.796959;-120.322936;KAM;Kamloops Transit System;Kamloops
104637;Mattoch-McKeague at Furiak (EB);EB_Mattoch-McKeague_FS_Furiak;50.793184;-120.322111;KAM;Kamloops Transit System;Kamloops
104638;Old Highway 5 at Mattoch-McKeague (SB);SB_Old Highway 5_FS_Mattoch-McKeague;50.791106;-120.315875;KAM;Kamloops Transit System;Kamloops
104639;block Old Highway 5 at Devick (SB);SB_block_Old Highway 5_NS_Devick;50.78822;-120.317615;KAM;Kamloops Transit System;Kamloops
104640;Halston Connector at Josep (NB);NB_Halston Connector_FS_Josep;50.711763;-120.335045;KAM;Kamloops Transit System;Kamloops 1
104641;Southview at Hillcrest (WB);WB_Southview_FS_Hillcrest;50.712165;-120.370782;KAM;Kamloops Transit System;Kamloops
104642;Linthorpe at Southview (EB);EB_Linthorpe_FS_Southview;50.714053;-120.372098;KAM;Kamloops Transit System;Kamloops
104643;Linthorpe at Hillcrest (EB);EB_Linthorpe_NS_Hillcrest;50.714073;-120.370536;KAM;Kamloops Transit System;Kamloops
104644;Batchelor at Norview (NB);NB_Batchelor_NS_Norview;50.717346;-120.369432;KAM;Kamloops Transit System;Kamloops
104645;Grasslands at Quail (NB);NB_Grasslands_NS_Quail;50.721538;-120.370431;KAM;Kamloops Transit System;Kamloops
104646;Quail at Quails Roost (EB);EB_Quail_FS_Quails Roost;50.719962;-120.36546;KAM;Kamloops Transit System;Kamloops
104647;Quail Dr at Quail Crt (NB);NB_Quail Dr_NS_Quail Crt;50.721348;-120.364295;KAM;Kamloops Transit System;Kamloops
104648;Raven at Grasslands (WB);WB_Raven_NS_Grasslands;50.722605;-120.367831;KAM;Kamloops Transit System;Kamloops
104649;Batchelor at Grasslands (SB);SB_Batchelor_FS_Grasslands;50.720344;-120.369904;KAM;Kamloops Transit System;Kamloops
104650;Norview Rd at Norview Pl (EB);EB_Norview Rd_FS_Norview Pl;50.718492;-120.363824;KAM;Kamloops Transit System;Kamloops
104651;North River at Norview (SB);SB_North River_FS_Norview;50.718487;-120.361705;KAM;Kamloops Transit System;Kamloops
104652;North River at Leighton (SB);SB_North River_FS_Leighton;50.716211;-120.366599;KAM;Kamloops Transit System;Kamloops
104653;Batchelor at North River (SB);SB_Batchelor_FS_North River;50.714218;-120.366443;KAM;Kamloops Transit System;Kamloops
104654;Lansdowne Exchange Bay E;Lansdowne_Exchange_Bay_E;50.676764;-120.325783;KAM;Kamloops Transit System;Kamloops
104655;Seymour at 6th Ave (EB);EB_Seymour_FS_6th Ave;50.67482;-120.326669;KAM;Kamloops Transit System;Kamloops
104656;Seymour at 8th Ave (EB);EB_Seymour_NS_8th Ave;50.674776;-120.321773;KAM;Kamloops Transit System;Kamloops
104657;Victoria at 10th Ave (EB);EB_Victoria_FS_10th Ave;50.673931;-120.315647;KAM;Kamloops Transit System;Kamloops
104658;Battle at 12th Ave (EB);EB_Battle_FS_12th Ave;50.673071;-120.311349;KAM;Kamloops Transit System;Kamloops
104659;Battle at Columbia (EB);EB_Battle_NS_Columbia;50.673083;-120.306918;KAM;Kamloops Transit System;Kamloops
104660;Valleyview at Rose Hill (EB);EB_Valleyview_NS_Rose Hill;50.672295;-120.294609;KAM;Kamloops Transit System;Kamloops
104661;Valleyview at Comazzetto (NB);NB_Valleyview_NS_Comazzetto;50.674465;-120.290614;KAM;Kamloops Transit System;Kamloops
104662;Valleyview at Knollwood (EB);EB_Valleyview_FS_Knollwood;50.675169;-120.288112;KAM;Kamloops Transit System;Kamloops
104663;Valleyview at Orchard (EB);EB_Valleyview_FS_Orchard;50.67574;-120.283413;KAM;Kamloops Transit System;Kamloops
104664;Valleyview at Cardinal (EB);EB_Valleyview_FS_Cardinal;50.675892;-120.276755;KAM;Kamloops Transit System;Kamloops
104665;Oriole at Glenwood (NB);NB_Oriole_FS_Glenwood;50.677399;-120.272252;KAM;Kamloops Transit System;Kamloops
104666;Falcon at Oriole (EB);EB_Falcon_FS_Oriole;50.678823;-120.271531;KAM;Kamloops Transit System;Kamloops
104667;E Trans-Canada Hwy Frtg at Industrial (EB);EB_E Trans-Canada Hwy Frtg_FS_Industrial;50.680079;-120.267011;KAM;Kamloops Transit System;Kamloops
104668;Flamingo at Highland (EB);EB_Flamingo_NS_Highland;50.678731;-120.261829;KAM;Kamloops Transit System;Kamloops
104669;Highland at Crescent (SB);SB_Highland_FS_Crescent;50.677372;-120.261988;KAM;Kamloops Transit System;Kamloops
104670;Highland at Valleyview (SB);Southbound Highland_FS_Valleyview;50.676246;-120.262425;KAM;Kamloops Transit System;Kamloops
104671;QuAppelle at Stikine (WB);WB_QuAppelle_NS_Stikine;50.66118;-120.262811;KAM;Kamloops Transit System;Kamloops
104672;Coldwater at Skeena (EB);EB_Coldwater_NS_Skeena;50.660119;-120.265164;KAM;Kamloops Transit System;Kamloops
104673;Skeena 2100 block (EB);EB_2100_block_Skeena;50.660157;-120.261569;KAM;Kamloops Transit System;Kamloops
104674;Skeena 2210 block (EB);EB_2210_block_Skeena;50.659919;-120.257921;KAM;Kamloops Transit System;Kamloops
104675;Finlay at Omineca (NB);NB_Finlay_FS_Omineca;50.661011;-120.254424;KAM;Kamloops Transit System;Kamloops
104676;QuAppelle at Finlay (EB);EB_QuAppelle_NS_Finlay;50.661949;-120.253898;KAM;Kamloops Transit System;Kamloops
104677;QuAppelle at Abitibi (EB);EB_QuAppelle_FS_Abitibi;50.661669;-120.249083;KAM;Kamloops Transit System;Kamloops
104678;QuAppelle at Nechako (SB);SB_QuAppelle_FS_Nechako;50.660581;-120.245932;KAM;Kamloops Transit System;Kamloops
104679;QuAppelle at Adams (EB);EB_QuAppelle_NS_Adams;50.659373;-120.243221;KAM;Kamloops Transit System;Kamloops
104680;QuAppelle at Capilano (EB);EB_QuAppelle_FS_Capilano;50.658396;-120.237312;KAM;Kamloops Transit System;Kamloops
104681;Churchill at Squamish (NB);NB_Churchill_FS_Squamish;50.658864;-120.234632;KAM;Kamloops Transit System;Kamloops
104682;Capilano at QuAppelle (WB);WB_Capilano_NS_QuAppelle;50.659516;-120.237893;KAM;Kamloops Transit System;Kamloops
104683;QuAppelle at Capilano (WB);WB_QuAppelle_FS_Capilano;50.658799;-120.23905;KAM;Kamloops Transit System;Kamloops
104684;QuAppelle at Adams (WB);WB_QuAppelle_FS_Adams;50.659485;-120.243146;KAM;Kamloops Transit System;Kamloops
104685;QuAppelle at Nechako (NB);NB_QuAppelle_NS_Nechako;50.660643;-120.245697;KAM;Kamloops Transit System;Kamloops
104686;QuAppelle at Bella Coola (WB);WB_QuAppelle_FS_Bella Coola;50.661798;-120.24845;KAM;Kamloops Transit System;Kamloops
104687;QuAppelle at Finlay (WB);WB_QuAppelle_NS_Finlay;50.662178;-120.254295;KAM;Kamloops Transit System;Kamloops
104688;QuAppelle 2200 block (SB);SB_2200_block_QuAppelle;50.661436;-120.257636;KAM;Kamloops Transit System;Kamloops
104689;QuAppelle at Highland (WB);WB_QuAppelle_NS_Highland;50.661095;-120.260901;KAM;Kamloops Transit System;Kamloops
104691;Highland at Valleyview (NB);NB_Highland_FS_Valleyview;50.67661;-120.26195;KAM;Kamloops Transit System;Kamloops
104692;Highland at Crescent (NB);NB_Highland_FS_Crescent;50.677908;-120.261375;KAM;Kamloops Transit System;Kamloops
104693;Flamingo at Highland (WB);WB_Flamingo_FS_Highland;50.678903;-120.262105;KAM;Kamloops Transit System;Kamloops
104694;E Trans-Canada Hwy Frtg at Industrial (WB);WB_E Trans-Canada Hwy Frtg_NS_Industrial;50.680153;-120.266677;KAM;Kamloops Transit System;Kamloops
104695;Falcon at Oriole (WB);WB_Falcon_NS_Oriole;50.678931;-120.271394;KAM;Kamloops Transit System;Kamloops
104696;Oriole at Glenwood (SB);SB_Oriole_FS_Glenwood;50.676792;-120.272407;KAM;Kamloops Transit System;Kamloops
104697;Valleyview 1970 block (WB);WB_1970_block_Valleyview;50.675854;-120.274752;KAM;Kamloops Transit System;Kamloops
104698;Valleyview at Knollwood (WB);WB_Valleyview_NS_Knollwood;50.675725;-120.284401;KAM;Kamloops Transit System;Kamloops
104699;Valleyview at Knollwood (WB);WB_Valleyview_FS_Knollwood;50.675187;-120.288888;KAM;Kamloops Transit System;Kamloops
104700;Valleyview at Strom (SB);SB_Valleyview_FS_Strom;50.674254;-120.29106;KAM;Kamloops Transit System;Kamloops
104701;Valleyview at E Trans-Canada Hwy Frtg (WB);WB_Valleyview_FS_E Trans-Canada Hwy Frtg;50.672505;-120.29613;KAM;Kamloops Transit System;Kamloops
104200;Lansdowne Exchange Bay I;Lansdowne_Exchange_Bay_I;50.676765;-120.326895;KAM;Kamloops Transit System;Kamloops
104201;Lansdowne at 4th Ave (WB);WB_Lansdowne_FS_4th Ave;50.676712;-120.332905;KAM;Kamloops Transit System;Kamloops
