stopid;stopname;stopsite;latitude;longitude;syscode;system;muni
104077;Pintail Dr at Johnstone (WB);WB_Pintail Dr_AT_Johnstone;49.35219;-124.37922;NAN;Regional District of Nanaimo Transit System;Nanaimo G
104078;Pintail at Point Mercer Dr (WB);WB_Pintail_NS_Point Mercer Dr;49.352855;-124.382813;NAN;Regional District of Nanaimo Transit System;Nanaimo G
104079;Pintail at Yambury Rd (WB);WB_Pintail_FS_Yambury Rd;49.353939;-124.388285;NAN;Regional District of Nanaimo Transit System;Qualicum Beach
104080;Pintail at Eaglecrest Dr (WB);WB_Pintail_NS_Eaglecrest Dr;49.354587;-124.392901;NAN;Regional District of Nanaimo Transit System;Qualicum Beach
104113;Eaglecrest farside Mallard (SB);SB_Eaglecrest_FS_Mallard;49.352011;-124.395144;NAN;Regional District of Nanaimo Transit System;Qualicum Beach
104115;Harlequin ACR Wood Duck Pl (WB);WB_Harlequin_ACR_Wood Duck Pl;49.350438;-124.394856;NAN;Regional District of Nanaimo Transit System;Qualicum Beach
109999;Boban at Mostar (WB);WB_Boban_NS_Mostar;49.208698;-124.033292;NAN;Regional District of Nanaimo Transit System;Nanaimo
110000;Mostar at Boban (NB);NB_Mostar_FS_Boban;49.209441;-124.03502;NAN;Regional District of Nanaimo Transit System;Nanaimo
110001;Metral at Somerset (WB);WB_Metral_FS_Somerset;49.215574;-124.031391;NAN;Regional District of Nanaimo Transit System;Nanaimo
110002;Metral at Bergen Op Zoom (WB);WB_Metral_FS_Bergen Op Zoom;49.218062;-124.037363;NAN;Regional District of Nanaimo Transit System;Nanaimo
110003;Metral at Turner (NB);NB_Metral_FS_Turner;49.222023;-124.041445;NAN;Regional District of Nanaimo Transit System;Nanaimo
110004;Metral at Emporer (NB);NB_Metral_NS_Emporer;49.22489;-124.042822;NAN;Regional District of Nanaimo Transit System;Nanaimo
110005;Metral 6300 block (NB);NB_6300_block_Metral;49.229143;-124.04346;NAN;Regional District of Nanaimo Transit System;Nanaimo
110006;Metral at Enterprise (NB);NB_Metral_FS_Enterprise;49.231162;-124.043783;NAN;Regional District of Nanaimo Transit System;Nanaimo
110007;Metral 6530 block (NB);NB_6530_block_Metral;49.233008;-124.04813;NAN;Regional District of Nanaimo Transit System;Nanaimo
110008;Metral 6530 block (SB);SB_6530_block_Metral;49.232982;-124.048441;NAN;Regional District of Nanaimo Transit System;Nanaimo
110009;Metral at Enterprise (SB);SB_Metral_NS_Enterprise;49.231147;-124.044087;NAN;Regional District of Nanaimo Transit System;Nanaimo
110010;Metral 6300 block (SB);SB_6300_block_Metral;49.2291;-124.043662;NAN;Regional District of Nanaimo Transit System;Nanaimo
110011;Metral at Emporer (SB);SB_Metral_NS_Emporer;49.224996;-124.043016;NAN;Regional District of Nanaimo Transit System;Nanaimo
110012;Metral at Turner (SB);SB_Metral_FS_Turner;49.221415;-124.041276;NAN;Regional District of Nanaimo Transit System;Nanaimo
110013;Metral at Bergen Op Zoom (EB);EB_Metral_FS_Bergen Op Zoom;49.217712;-124.037034;NAN;Regional District of Nanaimo Transit System;Nanaimo
110014;Metral at Somerset (EB);EB_Metral_NS_Somerset;49.215445;-124.031391;NAN;Regional District of Nanaimo Transit System;Nanaimo
110015;Mostar at Dunster (SB);SB_Mostar_FS_Dunster;49.212973;-124.034612;NAN;Regional District of Nanaimo Transit System;Nanaimo
110016;Boban at Mostar (EB);EB_Boban_FS_Mostar;49.208576;-124.033549;NAN;Regional District of Nanaimo Transit System;Nanaimo
110118;Bruce at Weeks (SB);SB_Bruce_FS_Weeks;49.140451;-123.949812;NAN;Regional District of Nanaimo Transit System;Nanaimo
110119;9th St at Yee (WB);WB_9th St_FS_Yee;49.140009;-123.952991;NAN;Regional District of Nanaimo Transit System;Nanaimo
110120;Howard at Weber (NB);NB_Howard_FS_Weber;49.142593;-123.955436;NAN;Regional District of Nanaimo Transit System;Nanaimo
110121;Howard at 860 Block (NB);NB_Howard_AT_860 Blk;49.145131;-123.955373;NAN;Regional District of Nanaimo Transit System;Nanaimo
