stopid;stopname;stopsite;latitude;longitude;syscode;system;muni
100000;Uvic Exchange Bay D;Uvic_Exchange_Bay_D;48.466448;-123.308842;VIC;Victoria Regional Transit System;Saanich
100002;Government at Belleville (SB);SB_Government_FS_Belleville;48.419736;-123.368999;VIC;Victoria Regional Transit System;Victoria
100003;Legislature Terminus Bay D;Legislature_Terminus_Bay_D;48.419141;-123.368942;VIC;Victoria Regional Transit System;Victoria
100004;Superior at Government (WB);WB_Superior_FS_Government;48.418303;-123.369369;VIC;Victoria Regional Transit System;Victoria
100006;Legislature Terminus Bay E;Legislature_Terminus_Bay_E;48.418266;-123.368052;VIC;Victoria Regional Transit System;Victoria
100008;Superior at Menzies (WB);WB_Superior_FS_Menzies;48.418261;-123.372801;VIC;Victoria Regional Transit System;Victoria
100009;Patrica Bay at Haliburton (SB);SB_Patrica Bay_FS_Haliburton;48.51395;-123.384455;VIC;Victoria Regional Transit System;Saanich
100011;Menzies at Superior (SB);SB_Menzies_FS_Superior;48.417842;-123.372635;VIC;Victoria Regional Transit System;Victoria
100012;Douglas at Elliot Street (NB);NB_Douglas_NS_Elliot Street;48.419223;-123.365871;VIC;Victoria Regional Transit System;Victoria
100181;Johnson at Camosun (EB);EB_Johnson_NS_Camosun;48.425458;-123.347862;VIC;Victoria Regional Transit System;Victoria
100182;Tyee at Bay (WB);WB_Tyee_FS_Bay;48.434305;-123.38136;VIC;Victoria Regional Transit System;Victoria
100183;Bay at Rock Bay (WB);WB_Bay_NS_Rock Bay;48.435918;-123.368469;VIC;Victoria Regional Transit System;Victoria
100184;May at Moss (WB);WB_May_FS_Moss;48.411493;-123.350113;VIC;Victoria Regional Transit System;Victoria
100185;Bay at Douglas (WB);WB_Bay_FS_Douglas;48.435798;-123.365981;VIC;Victoria Regional Transit System;Victoria
100186;Tyee at Langford (EB);EB_Tyee_FS_Langford;48.434129;-123.38134;VIC;Victoria Regional Transit System;Victoria
100188;Wilson at Mary (EB);EB_Wilson_FS_Mary;48.432815;-123.385542;VIC;Victoria Regional Transit System;Victoria
100189;Wilson at Mary (WB);WB_Wilson_NS_Mary;48.432944;-123.385784;VIC;Victoria Regional Transit System;Victoria
100190;May at Moss (EB);EB_May_FS_Moss;48.411291;-123.349428;VIC;Victoria Regional Transit System;Victoria
100191;Yates at Fernwood (WB);WB_Yates_FS_Fernwood;48.424601;-123.346261;VIC;Victoria Regional Transit System;Victoria
100192;Dallas at Wellington (WB);WB_Dallas_FS_Wellington;48.407168;-123.353667;VIC;Victoria Regional Transit System;Victoria
100193;Quadra at Empress (SB);SB_Quadra_NS_Empress;48.435023;-123.358146;VIC;Victoria Regional Transit System;Victoria
100194;Fernwood at Yates (NB);NB_Fernwood_NS_Yates;48.424076;-123.345465;VIC;Victoria Regional Transit System;Victoria
100195;Douglas at HIllside (SB);SB_Douglas_NS_Hillisde;48.438674;-123.367275;VIC;Victoria Regional Transit System;Victoria
100196;Cook at Princess (SB);SB_Cook_FS_Princess;48.432403;-123.352732;VIC;Victoria Regional Transit System;Victoria
100197;Esquimalt at Maitland (EB);EB_Esquimalt_FS_Maitland;48.430671;-123.389772;VIC;Victoria Regional Transit System;Victoria
100198;Douglas at Kings (NB);NB_Douglas_FS_Kings;48.437067;-123.366092;VIC;Victoria Regional Transit System;Victoria
100199;Richardson at Kipling (EB);EB_Richardson_NS_Kipling;48.416616;-123.3444;VIC;Victoria Regional Transit System;Victoria
100200;May at Olive (WB);WB_May_NS_Olive;48.411252;-123.348037;VIC;Victoria Regional Transit System;Victoria
100201;May at Joseph (EB);EB_May_NS_Joseph;48.411103;-123.347839;VIC;Victoria Regional Transit System;Victoria
100202;Richardson at Kipling (WB);WB_Richardson_FS_Kipling;48.416745;-123.344356;VIC;Victoria Regional Transit System;Victoria
100203;Fernwood at Johnson (NB);NB_Fernwood_FS_Johnson;48.425761;-123.345349;VIC;Victoria Regional Transit System;Victoria
100204;Esquimalt at Maitland (WB);WB_Esquimalt_NS_Maitland;48.430812;-123.39025;VIC;Victoria Regional Transit System;Victoria
100205;Fairfield at Kipling (WB);WB_Fairfield_FS_Kipling;48.413999;-123.34564;VIC;Victoria Regional Transit System;Victoria
100206;Cook at Princess (NB);NB_Cook_FS_Princess;48.433018;-123.352439;VIC;Victoria Regional Transit System;Victoria
100207;Fernwood at Rudlin (SB);SB_Fernwood_FS_Rudlin;48.425849;-123.345522;VIC;Victoria Regional Transit System;Victoria
100208;Quadra at Bay (NB);NB_Quadra_FS_Bay;48.435577;-123.357996;VIC;Victoria Regional Transit System;Victoria
100209;Pandora at Fernwood (WB);WB_Pandora_FS_Fernwood;48.426919;-123.345862;VIC;Victoria Regional Transit System;Victoria
100210;Fairfield at Kipling (EB);EB_Fairfield_FS_Kipling;48.413674;-123.345516;VIC;Victoria Regional Transit System;Victoria
100211;Johnson at Fernwood (EB);EB_Johnson_FS_Fernwood;48.425395;-123.344975;VIC;Victoria Regional Transit System;Victoria
100212;Fort at Elford (EB);EB_Fort_NS_Elford;48.424934;-123.341292;VIC;Victoria Regional Transit System;Victoria
100213;George at Moss (WB);WB_George_NS_Moss;48.408175;-123.350299;VIC;Victoria Regional Transit System;Victoria
