stopid;stopname;stopsite;latitude;longitude;syscode;system;muni
107450;Simpson at Peardonville (EB);EB_Simpson_NS_Peardonville;49.046145;-122.372334;VLY;Fraser Valley Region;Abbotsford
107451;Mt Lehman 1810 block (SB);SB_1810_block_Mt Lehman;49.035703;-122.37854;VLY;Fraser Valley Region;Abbotsford
107452;Approach at Cornell (EB);EB_Approach_FS_Cornell;49.028952;-122.378316;VLY;Fraser Valley Region;Abbotsford
107453;Tower at Firecat (NB);NB_Tower_NS_Firecat;49.029455;-122.375705;VLY;Fraser Valley Region;Abbotsford
107454;Mt Lehman 1820 block (NB);NB_1820_block_Mt Lehman;49.035771;-122.378317;VLY;Fraser Valley Region;Abbotsford
107455;Peardonville 2180 block (NB);NB_2180_block_Peardonville;49.04224;-122.374577;VLY;Fraser Valley Region;Abbotsford
107456;Peardonville 2350 block (NB);NB_2350_block_Peardonville;49.045015;-122.371388;VLY;Fraser Valley Region;Abbotsford
107457;Peardonville 2330 block (SB);SB_2330_block_Peardonville;49.045013;-122.371647;VLY;Fraser Valley Region;Abbotsford
107458;Peardonville at Iron Mills Crt (SB);SB_Peardonville_NS_Iron Mills Crt;49.041009;-122.376183;VLY;Fraser Valley Region;Abbotsford
107481;Latimer at Laburnum (EB);EB_Latimer_NS_Laburnum;49.06601;-122.25651;VLY;Fraser Valley Region;Abbotsford
107483;Laburnum at Sussex (WB);WB_Laburnum_NS_Sussex;49.064161;-122.26257;VLY;Fraser Valley Region;Abbotsford
107485;Gladys at Morey (NB);NB_Gladys_FS_Morey;49.054221;-122.286644;VLY;Fraser Valley Region;Abbotsford
107486;Hwy 11 at McCallum (NB);NB_Hwy 11_FS_McCallum;49.066791;-122.286037;VLY;Fraser Valley Region;Abbotsford
107487;Riverside at Fore (SB);SB_Riverside_NS_Fore;49.111938;-122.294377;VLY;Fraser Valley Region;Abbotsford
107488;Riverside at St Olaf (SB);SB_Riverside_NS_St Olaf;49.107605;-122.29432;VLY;Fraser Valley Region;Abbotsford
107489;Riverside at Harris (SB);SB_Riverside_NS_Harris;49.104235;-122.294292;VLY;Fraser Valley Region;Abbotsford
107490;Riverside at Harris (NB);NB_Riverside_FS_Harris;49.104308;-122.294043;VLY;Fraser Valley Region;Abbotsford
107491;Riverside at Grace (NB);NB_Riverside_NS_Grace;49.10775;-122.294135;VLY;Fraser Valley Region;Abbotsford
107492;Riverside at Fore (NB);NB_Riverside_FS_Fore;49.111828;-122.294221;VLY;Fraser Valley Region;Abbotsford
107493;Marshall at Camden (SB);SB_Marshall_FS_Camden;49.041427;-122.248448;VLY;Fraser Valley Region;Abbotsford
107494;Marshall at McCorkell (WB);WB_Marshall_NS_McCorkell;49.038593;-122.249219;VLY;Fraser Valley Region;Abbotsford
107495;Marshall at Everett (WB);WB_Marshall_NS_Everett;49.038523;-122.253946;VLY;Fraser Valley Region;Abbotsford
107496;Marshall at Sierra (WB);WB_Marshall_NS_Sierra;49.038434;-122.257254;VLY;Fraser Valley Region;Abbotsford
107498;Peardonville at Simpson (WB);WB_Peardonville_NS_Simpson;49.046257;-122.368976;VLY;Fraser Valley Region;Abbotsford
107499;Bourquin Exchange Bay A;Bourquin_Exchange_Bay_A;49.048136;-122.30865;VLY;Fraser Valley Region;Abbotsford
107500;Bourquin Exchange Bay B;Bourquin_Exchange_Bay_B;49.048295;-122.308846;VLY;Fraser Valley Region;Abbotsford
107501;Bourquin Exchange Bay C;Bourquin_Exchange_Bay_C;49.048445;-122.30906;VLY;Fraser Valley Region;Abbotsford
107740;Station at Fraser (SB);SB_Station_FS_Fraser;49.056917;-122.459836;VLY;Fraser Valley Region;Langley
107741;276 St at Springfield (SB);SB_276 St_FS_Springfield;49.053746;-122.459865;VLY;Fraser Valley Region;Langley
107742;28 Ave 27440 block (WB);WB_27440_block_28 Ave;49.053177;-122.464406;VLY;Fraser Valley Region;Langley
107743;28 Ave at 273 St (WB);WB_28 Ave_FS_273 St;49.053181;-122.467492;VLY;Fraser Valley Region;Langley
107744;272 St at 28 Ave (NB);NB_272 St_FS_28 Ave;49.053447;-122.47058;VLY;Fraser Valley Region;Langley
105723;Downes at Clearbrook (WB);WB_Downes_FS_Clearbrook;49.074605;-122.34718;VLY;Fraser Valley Region;Abbotsford
105724;Clearbrook at Sorrento (NB);NB_Clearbrook_FS_Sorrento;49.066848;-122.33805;VLY;Fraser Valley Region;Abbotsford
105725;Maclure at Trethewey (WB);WB_Maclure_FS_Trethewey;49.060234;-122.327705;VLY;Fraser Valley Region;Abbotsford
105726;Exbury at Laburnum (WB);WB_Exbury_FS_Laburnum;49.068294;-122.255052;VLY;Fraser Valley Region;Abbotsford
105727;Old Clayburn 34970 block (EB);EB_34970_block_Old Clayburn;49.061216;-122.256478;VLY;Fraser Valley Region;Abbotsford
105729;Gladwin at Old Riverside (SB);SB_Gladwin_FS_Old Riverside;49.065606;-122.316086;VLY;Fraser Valley Region;Abbotsford
105730;Townline at Downes (SB);SB_Townline_FS_Downes;49.074175;-122.360046;VLY;Fraser Valley Region;Abbotsford
105731;Townline at Blueridge (SB);SB_Townline_FS_Blueridge;49.06716;-122.359938;VLY;Fraser Valley Region;Abbotsford
105732;Bevan at Cascade (EB);EB_Bevan_FS_Cascade;49.041738;-122.323382;VLY;Fraser Valley Region;Abbotsford
105733;Trethewey at Simon (NB);NB_Trethewey_NS_Simon;49.052895;-122.326526;VLY;Fraser Valley Region;Abbotsford
105734;Trethewey at George Ferguson (SB);SB_Trethewey_FS_George Ferguson;49.054676;-122.326966;VLY;Fraser Valley Region;Abbotsford
105735;Trethewey at Veterans (SB);SB_Trethewey_FS_Veterans;49.052724;-122.326923;VLY;Fraser Valley Region;Abbotsford
105736;Townline at Southern (SB);SB_Townline_FS_Southern;49.056456;-122.360189;VLY;Fraser Valley Region;Abbotsford
105737;Trethewey at Maclure (NB);NB_Trethewey_FS_Maclure;49.060984;-122.32681;VLY;Fraser Valley Region;Abbotsford
105738;Trethewey at Diamond (NB);NB_Trethewey_FS_Diamond;49.056953;-122.326676;VLY;Fraser Valley Region;Abbotsford
105739;Gladwin at Highland (SB);SB_Gladwin_FS_Highland;49.067424;-122.316074;VLY;Fraser Valley Region;Abbotsford
