stopid;stopname;stopsite;latitude;longitude;syscode;system;muni
102478;Painted Cliff at Spearhead (SB);SB_Painted Cliff_NS_Spearhead;50.117092;-122.940768;WHI;Whistler Transit System;Whistler
102449;Glacier at Blackcomb (WB);WB_Glacier_NS_Blackcomb;50.114318;-122.949164;WHI;Whistler Transit System;Whistler
102450;Glacier at Blackcomb (EB);EB_Glacier_FS_Blackcomb;50.114321;-122.94873;WHI;Whistler Transit System;Whistler
102451;Glacier 4690 block (NB);NB_4690_block_Glacier;50.112448;-122.947695;WHI;Whistler Transit System;Whistler
102452;Glacier 4710 block (SB);SB_4710_block_Glacier;50.111846;-122.948147;WHI;Whistler Transit System;Whistler
102453;Blackcomb 4540 block (SB);SB_4540_block_Blackcomb;50.116239;-122.948926;WHI;Whistler Transit System;Whistler
102454;Blackcomb 4540 block (NB);NB_4540_block_Blackcomb;50.116133;-122.948825;WHI;Whistler Transit System;Whistler
102455;Village Gate at Northlands (EB);EB_Village Gate_NS_Northlands;50.116152;-122.956483;WHI;Whistler Transit System;Whistler
102456;Village Gate at Northlands (WB);WB_Village Gate_FS_Northlands;50.116345;-122.956528;WHI;Whistler Transit System;Whistler
102457;Glacier at Summit (SB);SB_Glacier_FS_Summit;50.11098;-122.947333;WHI;Whistler Transit System;Whistler
102458;Glacier at Summit (NB);NB_Glacier_NS_Summit;50.111076;-122.947181;WHI;Whistler Transit System;Whistler
102460;Blackcomb at Chateau (NB);NB_Blackcomb_NS_Chateau;50.117341;-122.948006;WHI;Whistler Transit System;Whistler
102461;Blackcomb 4340 block (SB);SB_4340_block_Blackcomb;50.118571;-122.953963;WHI;Whistler Transit System;Whistler
102462;Northlands at Main at Library (NB);NB_Northlands_FS_Main_at_Library;50.117663;-122.958;WHI;Whistler Transit System;Whistler
102463;Blackcomb at Chateau (WB);WB_Blackcomb_NS_Chateau;50.117935;-122.947316;WHI;Whistler Transit System;Whistler
102464;Glacier 4814 block (WB);WB_4814_block_Glacier;50.10912;-122.947999;WHI;Whistler Transit System;Whistler
102465;Blackcomb at Lorimer at Chateau (EB);EB_Blackcomb_NS_Lorimer_at_Chateau;50.118483;-122.946258;WHI;Whistler Transit System;Whistler
102466;Northlands at Main (NB);NB_Northlands_FS_Main_AT_IGA;50.119062;-122.958299;WHI;Whistler Transit System;Whistler
102468;Blackcomb at Cultural Centre (WB);WB_Blackcomb_AT_Cultural Centre;50.11889;-122.945848;WHI;Whistler Transit System;Whistler
102470;Lorimer at Marketplace (EB);EB_Lorimer_FS_Marketplace;50.120298;-122.956234;WHI;Whistler Transit System;Whistler
102471;Spearhead at Painted Cliff (WB);WB_Spearhead_FS_Painted Cliff;50.116715;-122.942293;WHI;Whistler Transit System;Whistler
102472;Blackcomb at Lorimer (NB);NB_Blackcomb_FS_Lorimer;50.120907;-122.954178;WHI;Whistler Transit System;Whistler
102473;Spearhead 4750 block (NB);NB_4750_block_Spearhead;50.118001;-122.942771;WHI;Whistler Transit System;Whistler
102475;Blackcomb at Lorimer (SB);SB_Blackcomb_NS_Lorimer;50.121038;-122.954282;WHI;Whistler Transit System;Whistler
102476;Painted Cliff 4890 block (NB);NB_4890_block_Painted Cliff;50.114162;-122.940523;WHI;Whistler Transit System;Whistler
102645;Hwy 99 at Alta Lake (WB);WB_Hwy 99_FS_Alta Lake;50.090407;-123.007787;WHI;Whistler Transit System;Whistler
102653;Emerald at Autumn (WB);WB_Emerald_NS_Autumn;50.156061;-122.931228;WHI;Whistler Transit System;Whistler
102656;Emerald 9140 block (WB);WB_9140_block_Emerald;50.157494;-122.929795;WHI;Whistler Transit System;Whistler
102659;Hwy 99 at Emerald (NB);NB_Hwy 99_NS_Emerald;50.15872;-122.926836;WHI;Whistler Transit System;Whistler
102660;Emerald at Pinetree (SB);SB_Emerald_NS_Pinetree;50.159071;-122.92815;WHI;Whistler Transit System;Whistler
102661;Spring Creek at Khyber (EB);EB_Spring Creek_FS_Khyber;50.086771;-123.014254;WHI;Whistler Transit System;Whistler
102662;Spring Creek at Khyber (WB);WB_Spring Creek_NS_Khyber;50.08683;-123.014418;WHI;Whistler Transit System;Whistler
102664;Spring Creek at Tynebridge (EB);EB_Spring Creek_FS_Tynebridge;50.086372;-123.01882;WHI;Whistler Transit System;Whistler
102665;Spring Creek at Tynebridge (WB);WB_Spring Creek_NS_Tynebridge;50.08646;-123.019413;WHI;Whistler Transit System;Whistler
102667;Spring Creek at Cedar Glen (EB);EB_Spring Creek_NS_Cedar Glen;50.085708;-123.020758;WHI;Whistler Transit System;Whistler
102668;Spring Creek at Cedar Glen (WB);WB_Spring Creek_FS_Cedar Glen;50.085696;-123.021058;WHI;Whistler Transit System;Whistler
102671;Spring Creek 1500 block (NB);NB_1500_block_Spring Creek;50.08652;-123.023894;WHI;Whistler Transit System;Whistler
102672;Spring Creek 1500 block (SB);SB_1500_block_Spring Creek;50.086251;-123.023737;WHI;Whistler Transit System;Whistler
102673;Hwy 99 at Spring Creek (EB);EB_Hwy 99_FS_Spring Creek;50.08736;-123.025092;WHI;Whistler Transit System;Whistler
102676;Function Junction Turnaround (WB);WB_Function Junction Turnaround;50.090086;-123.031354;WHI;Whistler Transit System;Whistler
102677;Industrial Park (NB);NB_Industrial Park;50.089519;-123.033164;WHI;Whistler Transit System;Whistler
102678;Alpha Lake 1320 block (SB);SB_1320_block_Alpha Lake;50.089561;-123.033371;WHI;Whistler Transit System;Whistler
102679;Alpha Lake Rd (WB);WB_Alpha Lake Rd;50.089217;-123.036756;WHI;Whistler Transit System;Whistler
102680;Alpha Lake 1230 block (EB);EB_1230_block_Alpha Lake;50.089121;-123.036662;WHI;Whistler Transit System;Whistler
102681;Alpha Lake at Millar Creek (NB);NB_Alpha Lake_FS_Millar Creek;50.088383;-123.038769;WHI;Whistler Transit System;Whistler
102682;Millar Creek Rd (SB);SB_Millar Creek Rd;50.08835;-123.0389;WHI;Whistler Transit System;Whistler
102683;Cheakamus Lake 1120 block (SB);SB_1120_block_Cheakamus Lake;50.085658;-123.036975;WHI;Whistler Transit System;Whistler
102685;Mount Fee at Whitewater (NB);NB_Mount Fee_FS_Whitewater;50.079105;-123.039236;WHI;Whistler Transit System;Whistler
102686;Legacy at Mount Fee (WB);WB_Legacy_FS_Mount Fee;50.079824;-123.041416;WHI;Whistler Transit System;Whistler
102690;Cheakamus Crossing at HI Whistler ;WB_Legacy_NS_Cloudburst;50.078667;-123.043635;WHI;Whistler Transit System;Whistler
102691;Cheakamus Lake 1100 block (NB);NB_1100_block_Cheakamus Lake;50.086188;-123.036703;WHI;Whistler Transit System;Whistler
102703;Bear Paw 8350 block (WB);WB_8350_block_Bear Paw;50.156636;-122.95596;WHI;Whistler Transit System;Whistler
102479;Lorimer at Northlands (WB);WB_Lorimer_FS_Northlands;50.120981;-122.958591;WHI;Whistler Transit System;Whistler
102480;Blackcomb at Spearhead (EB);EB_Blackcomb_NS_Spearhead;50.119955;-122.941833;WHI;Whistler Transit System;Whistler
102481;Blackcomb 4610 block (WB);WB_4610_block_Blackcomb;50.120054;-122.942785;WHI;Whistler Transit System;Whistler
102483;Hwy 99 at Panorama (EB);EB_Hwy 99_FS_Panorama;50.109946;-122.964762;WHI;Whistler Transit System;Whistler
102484;Spearhead at Blackcomb (NB);NB_Spearhead_NS_Blackcomb;50.119128;-122.941181;WHI;Whistler Transit System;Whistler
102485;Painted Cliff 4860 block (SB);SB_4860_block_Painted Cliff;50.118276;-122.940054;WHI;Whistler Transit System;Whistler
102486;Hwy 99 at Panorama (WB);WB_Hwy 99_NS_Panorama;50.110025;-122.964828;WHI;Whistler Transit System;Whistler
102487;Blackcomb at Settebello (SB);SB_Blackcomb_FS_Settebello;50.123235;-122.954517;WHI;Whistler Transit System;Whistler
102488;Blackcomb at Settebello (NB);NB_Blackcomb_FS_Settebello;50.123593;-122.954432;WHI;Whistler Transit System;Whistler
102491;Painted Cliff at Blackcomb (SB);SB_Painted Cliff_FS_Blackcomb;50.119893;-122.938781;WHI;Whistler Transit System;Whistler
102492;Blackcomb at Painted Cliff (EB);EB_Blackcomb_NS_Painted Cliff;50.12039;-122.939407;WHI;Whistler Transit System;Whistler
102712;Gondola Exchange Bay 1;Gondola_Exchange_Bay_1;50.114023;-122.952617;WHI;Whistler Transit System;Whistler
102713;Gondola Exchange Bay 2;Gondola_Exchange_Bay_2;50.113905;-122.952565;WHI;Whistler Transit System;Whistler
102714;Gondola Exchange Bay 3;Gondola_Exchange_Bay_3;50.113675;-122.952475;WHI;Whistler Transit System;Whistler
102715;Gondola Exchange Bay 4;Gondola_Exchange_Bay_4;50.113486;-122.952372;WHI;Whistler Transit System;Whistler
102716;Gondola Exchange Bay 5;Gondola_Exchange_Bay_5;50.113234;-122.952202;WHI;Whistler Transit System;Whistler
102717;Gondola Exchange Bay 6;Gondola_Exchange_Bay_6;50.113144;-122.951909;WHI;Whistler Transit System;Whistler
102718;Gondola Exchange Bay 7;Gondola_Exchange_Bay_7;50.113207;-122.95164;WHI;Whistler Transit System;Whistler
102603;Lake Placid at Sarajevo (WB);WB_Lake Placid_NS_Sarajevo;50.094324;-122.99187;WHI;Whistler Transit System;Whistler
102604;Matterhorn at Drifter (SB);SB_Matterhorn_NS_Drifter;50.143988;-122.967619;WHI;Whistler Transit System;Whistler
102605;Lake Placid at Sarajevo (EB);EB_Lake Placid_NS_Sarajevo;50.094237;-122.99229;WHI;Whistler Transit System;Whistler
102607;Drifter at Alpine (NB);NB_Drifter_NS_Alpine;50.144567;-122.969702;WHI;Whistler Transit System;Whistler
102610;Rainbow at Matterhorn (SB);SB_Rainbow_NS_Matterhorn;50.145972;-122.965252;WHI;Whistler Transit System;Whistler
102619;Hwy 99 at Alpine (SB);SB_Hwy 99_FS_Alpine;50.148154;-122.961283;WHI;Whistler Transit System;Whistler
102620;Hwy 99 8690 block (NB);NB_8690_block_Hwy 99;50.147924;-122.960961;WHI;Whistler Transit System;Whistler
102621;Drifter at Wedgeview (NB);NB_Drifter_NS_Wedgeview;50.146469;-122.970591;WHI;Whistler Transit System;Whistler
102622;Alpine at Rainbow (WB);WB_Alpine_NS_Rainbow;50.148147;-122.963283;WHI;Whistler Transit System;Whistler
102627;Drifter at Driftwood (EB);EB_Drifter_NS_Driftwood;50.148833;-122.968405;WHI;Whistler Transit System;Whistler
