stopid;stopname;stopsite;latitude;longitude;syscode;system;muni
186000;Indian Dr at Sugar Cane Band Office (WB);WB_Indian Dr_AT_Sugar Cane Band Office;52.108349;-121.991952;WIL;Williams Lake Transit System;Williams Lake 1
186001;Broadway Ave S at Signal Point Rd (WB);WB_Broadway Ave S_AT_Signal Point Rd;52.122485;-122.097071;WIL;Williams Lake Transit System;Williams Lake
186002;Lakeview at Summit (NB);NB_Lakeview_FS_Summit;52.130847;-122.128567;WIL;Williams Lake Transit System;Williams Lake
186003;11th Ave N at Smedley (WB);WB_11th Ave N_NS_Smedley;52.142229;-122.138074;WIL;Williams Lake Transit System;Williams Lake
186004;Broadway Ave N at Carson (NB);NB_Broadway Ave N_NS_Carson;52.137613;-122.134808;WIL;Williams Lake Transit System;Williams Lake
186005;Broadway Ave N at Heartland Toyota (NB);NB_Broadway Ave N_AT_Heartland Toyota;52.132113;-122.130451;WIL;Williams Lake Transit System;Williams Lake
186006;Lakeview at Windmill Cres (NB);NB_Lakeview_FS_Windmill Cres;52.128271;-122.126854;WIL;Williams Lake Transit System;Williams Lake
186007;Broadway Ave S at Lakeview Cres (WB);WB_Broadway Ave S_NS_Lakeview Cres;52.126473;-122.123831;WIL;Williams Lake Transit System;Williams Lake
186008;Broadway Ave S at Coleman (WB);WB_Broadway Ave S_FS_Coleman;52.124327;-122.116241;WIL;Williams Lake Transit System;Williams Lake
186009;Broadway Ave S at Rowat (WB);WB_Broadway Ave S_FS_Rowat;52.123377;-122.11242;WIL;Williams Lake Transit System;Williams Lake
186010;Broadway Ave S at Exshaw Cres (WB);WB_Broadway Ave S_FS_Exshaw Cres;52.122651;-122.105624;WIL;Williams Lake Transit System;Williams Lake
186011;Broadway Ave S at 1640 Blk (WB);WB_Broadway Ave S_AT_1640 Blk;52.122425;-122.101598;WIL;Williams Lake Transit System;Williams Lake
186012;Broadway Ave S at Museum (WB);WB_Broadway Ave S_AT_Museum;52.122478;-122.098879;WIL;Williams Lake Transit System;Williams Lake
186013;Smedley at 9th (WB);WB_Smedley_NS_9th ;52.141877;-122.139905;WIL;Williams Lake Transit System;Williams Lake
186014;9th at Smedley (SB);SB_9th_FS_Smedley;52.141003;-122.14019;WIL;Williams Lake Transit System;Williams Lake
186015;9th at McKinnon (SB);SB_9th_NS_McKinnon;52.138516;-122.136788;WIL;Williams Lake Transit System;Williams Lake
186016;Carson Dr at Lake City School (SB);SB_Carson Dr_AT_Lake City School;52.135607;-122.138559;WIL;Williams Lake Transit System;Williams Lake
186017;5th at Proctor (SB);SB_5th_NS_Proctor;52.132569;-122.140405;WIL;Williams Lake Transit System;Williams Lake
186018;Proctor at 4th (WB);WB_Proctor_FS_4th;52.131932;-122.142056;WIL;Williams Lake Transit System;Williams Lake
186020;3rd at Borland (SB);SB_3rd_NS_Borland;52.130563;-122.142707;WIL;Williams Lake Transit System;Williams Lake
186019;3rd at Yorston (SB);SB_3rd_NS_Yorston;52.127648;-122.142452;WIL;Williams Lake Transit System;Williams Lake
186021;Yorston at 3rd (EB);EB_Yorston_FS_3rd;52.126597;-122.14179;WIL;Williams Lake Transit System;Williams Lake
186022;4th at Oliver (NB);NB_4th_NS_Oliver;52.128028;-122.140286;WIL;Williams Lake Transit System;Williams Lake
186023;4th at Oliver (SB);SB_4th_FS_Oliver;52.128123;-122.140464;WIL;Williams Lake Transit System;Williams Lake
186046;2nd Ave N at Borland (NB);NB_2nd Ave N_FS_Borland;52.130125;-122.143822;WIL;Williams Lake Transit System;Williams Lake
186047;2nd Ave N at 252nd Blk (NB);NB_2nd Ave N_AT_252nd Blk;52.132136;-122.144682;WIL;Williams Lake Transit System;Williams Lake
186048;2nd Ave N at Cameron (NB);NB_2nd Ave N_FS_Cameron;52.133375;-122.145576;WIL;Williams Lake Transit System;Williams Lake
186049;2nd Ave N at Gibbon (NB);NB_2nd Ave N_FS_Gibbon;52.137869;-122.149687;WIL;Williams Lake Transit System;Williams Lake
186050;2nd Ave N at Dodwell (NB);NB_2nd Ave N_FS_Dodwell;52.140838;-122.152424;WIL;Williams Lake Transit System;Williams Lake
186051;2nd Ave N at Litzenburg Cres (NB);NB_2nd Ave N_FS_Litzenburg Cres;52.143048;-122.155617;WIL;Williams Lake Transit System;Williams Lake
186052;2nd Ave N at Boundary (NB);NB_2nd Ave N_FS_Boundary ;52.143912;-122.157661;WIL;Williams Lake Transit System;Williams Lake
186053;2nd Ave N at 1156 Blk (NB);NB_2nd Ave N_AT_1156 Blk;52.145644;-122.160088;WIL;Williams Lake Transit System;Williams Lake
186054;Pine at MacKenzie Ave N (SB);SB_Pine_NS_MacKenzie Ave N;52.146548;-122.163428;WIL;Williams Lake Transit System;Williams Lake
186055;Maple at MacKenzie Ave N (NB);NB_Maple_FS_MacKenzie Ave N;52.14734;-122.166529;WIL;Williams Lake Transit System;Williams Lake
186056;2nd at Maple (EB);EB_2nd_FS_Maple;52.147549;-122.165405;WIL;Williams Lake Transit System;Williams Lake
186057;Dairy at 3rd Ave N (EB);EB_Dairy_FS_3rd Ave N;52.146776;-122.159485;WIL;Williams Lake Transit System;Williams Lake
186031;Hodgson at 351 Blk (EB);EB_hodgson_AT_351 Blk;52.11331;-122.13748;WIL;Williams Lake Transit System;Williams Lake
186032;S Lakeside at Hodgson (EB);EB_S Lakeside_FS_Hodgson;52.116357;-122.130529;WIL;Williams Lake Transit System;Williams Lake
186033;Prosperity Way at 1185 Blk (EB);EB_Prosperity Way_AT_1185 Blk;52.113612;-122.125384;WIL;Williams Lake Transit System;Williams Lake
186034;Prosperity Way at 1205 Blk (WB);WB_Prosperity Way_AT_1205 Blk;52.113409;-122.122302;WIL;Williams Lake Transit System;Williams Lake
186035;S Lakeside at 1413 Blk (EB);EB_S Lakeside_AT_1413 Blk;52.112826;-122.114443;WIL;Williams Lake Transit System;Williams Lake
186036;S Lakeside at Paxton (EB);EB_Lakeside_NS_Paxton;52.112106;-122.107146;WIL;Williams Lake Transit System;Williams Lake
186037;Juniper at Birch Hill (EB);EB_Juniper_FS_Birch Hill;52.10891;-122.103384;WIL;Williams Lake Transit System;Williams Lake
186038;Juniper at Holly (EB);EB_Juniper_NS_Holly;52.108662;-122.096876;WIL;Williams Lake Transit System;Williams Lake
186039;Renner at 1815 Blk (EB);EB_Renner Rd_AT_1815 Blk;52.109725;-122.09332;WIL;Williams Lake Transit System;Williams Lake
186040;S Lakeside at Renner (WB);WB_S Lakeside_FS_Renner;52.111006;-122.093367;WIL;Williams Lake Transit System;Williams Lake
