stopid;stopname;stopsite;latitude;longitude;syscode;system;muni
160092;Daniel St at End (WB);WB_Daniel St_FS_End;49.091702;-117.697309;WKT;West Kootenay Transit System;Trail
160093;Daniel St at Wilmes (WB);WB_Daniel St_NS_Wilmes;49.091824;-117.700728;WKT;West Kootenay Transit System;Trail
160094;Topping St at Elm St (EB);EB_Topping St_FS_Elm St;49.092195;-117.701398;WKT;West Kootenay Transit System;Trail
160095;Topping St at Bay (EB);EB_Topping St_FS_Bay;49.092502;-117.703597;WKT;West Kootenay Transit System;Trail
160096;Pine at Portland (EB);EB_Pine_FS_Portland;49.093252;-117.707735;WKT;West Kootenay Transit System;Trail
160097;Eldorado St at Pine (WB);WB_Eldorado St_NS_Pine;49.09535;-117.709758;WKT;West Kootenay Transit System;Trail
160098;Bay at Farwell St (SB);SB_Bay_FS_Farwell St;49.096692;-117.708705;WKT;West Kootenay Transit System;Trail
160102;Second at McQuarrie St (NB);NB_Second_FS_McQuarrie St;49.097068;-117.700865;WKT;West Kootenay Transit System;Trail
160103;Second at McQuarrie St (SB);SB_Second_NS_McQuarrie St;49.096712;-117.700662;WKT;West Kootenay Transit System;Trail
160104;Second at Robertson St (SB);SB_Second_FS_Robertson St;49.098497;-117.70232;WKT;West Kootenay Transit System;Trail
160105;Second at Robertson St (NB);NB_Second_FS_Robertson St;49.098913;-117.702572;WKT;West Kootenay Transit System;Trail
160106;Second at Bailey St (NB);NB_Second_FS_Bailey St;49.100503;-117.703806;WKT;West Kootenay Transit System;Trail
160107;Second at Goepel St (SB);SB_Second_FS_Goepel St;49.101105;-117.704326;WKT;West Kootenay Transit System;Trail
160108;Second at Goepel St (NB);NB_Second_FS_Goepel St;49.101596;-117.704518;WKT;West Kootenay Transit System;Trail
160109;Second at Taylor St (SB);SB_Second_FS_Taylor St;49.102736;-117.705418;WKT;West Kootenay Transit System;Trail
160110;Second at Taylor St (NB);NB_Second_FS_Taylor St;49.10321;-117.705569;WKT;West Kootenay Transit System;Trail
160111;Charles Lakes at Park (WB);WB_Charles Lakes_FS_Park;49.105597;-117.70752;WKT;West Kootenay Transit System;Trail
160112;Charles Lakes at Park (EB);EB_Charles Lakes_NS_Park;49.105554;-117.707664;WKT;West Kootenay Transit System;Trail
160002;Selkirk College (WB);WB_Selkirk College_Bay_A;49.311015;-117.652372;WKT;West Kootenay Transit System;Central Kootenay J
160088;Selkirk College (EB);EB_Selkirk College_Bay_B;49.309993;-117.652633;WKT;West Kootenay Transit System;Central Kootenay J
160133;Hwy 22A at Hwy 3B (EB);EB_Hwy 22A_FS_Hwy 3B;49.086494;-117.62527;WKT;West Kootenay Transit System;Trail
160393;Broadwater 2700 Block (EB);EB_Broadwater_2700_block;49.333098;-117.67592;WKT;West Kootenay Transit System;Central Kootenay J
160091;Broadwater at Horcoff (WB);WB_Broadwater_NS_Horcoff;49.332806;-117.682966;WKT;West Kootenay Transit System;Central Kootenay J
160090;Columbia at 22nd St (SB);SB_Columbia_FS_22nd St;49.29129;-117.65089;WKT;West Kootenay Transit System;Castlegar
160009;Columbia at 22nd St (NB);NB_Columbia_NS_22nd St;49.2913;-117.650623;WKT;West Kootenay Transit System;Castlegar
160010;Columbia at 23rd St (SB);SB_Columbia_NS_23rd St;49.288278;-117.650872;WKT;West Kootenay Transit System;Castlegar
160011;Columbia at 23rd St (NB);NB_Columbia_FS_23rd St;49.288318;-117.65066;WKT;West Kootenay Transit System;Castlegar
160012;Support Services;SB_Clean Road_D lot;49.098389;-117.715442;WKT;West Kootenay Transit System;Trail
160013;11th St (EB);EB_11th St_FS_Fell;49.508243;-117.266106;WKT;West Kootenay Transit System;Nelson
160333;Nelson at Kokanee (NB);NB_Nelson_FS_Kokanee;49.506816;-117.279025;WKT;West Kootenay Transit System;Nelson
160015;Columbia 1500 block 1500 block (NB);NB_Columbia_1500_block;49.304709;-117.658466;WKT;West Kootenay Transit System;Castlegar
160016;Columbia 1500 block 1500 block (SB);SB_Columbia_1500_block;49.304717;-117.658622;WKT;West Kootenay Transit System;Castlegar
160017;Columbia at Hunters (SB);SB_Columbia_NS_Hunters;49.306076;-117.658639;WKT;West Kootenay Transit System;Castlegar
160018;Columbia 2500 block 2500 block (NB);NB_Columbia_2500_block;49.282756;-117.650673;WKT;West Kootenay Transit System;Castlegar
160019;Columbia 2500 (SB);SB_Columbia_2500_block;49.282575;-117.650846;WKT;West Kootenay Transit System;Castlegar
160020;14th 2300 block 2300 block (NB);NB_14th_2300_block;49.287731;-117.660903;WKT;West Kootenay Transit System;Castlegar
160021;Thompson at Schofield Hwy (SB);SB_Thompson_AT_Schofield Hwy;49.071628;-117.791321;WKT;West Kootenay Transit System;Rossland
160022;Victoria St at Tamarac (WB);WB_Victoria St_FS_Tamarac;49.096249;-117.713268;WKT;West Kootenay Transit System;Trail
160023;Waneta Plaza Bay B (WB);WB_Waneta Plaza_Bay B;49.090527;-117.63381;WKT;West Kootenay Transit System;Trail
160024;Nelson at Lookout St (EB);EB_Nelson_FS_Lookout St;49.093574;-117.713452;WKT;West Kootenay Transit System;Trail
160025;Victoria St 700 block 700 block (EB);EB_Victoria St_700_block;49.096236;-117.712238;WKT;West Kootenay Transit System;Trail
160431;Hwy 3A at Nasookin (WB);WB_Hwy 3A_NS_Nasookin;49.540109;-117.261871;WKT;West Kootenay Transit System;Central Kootenay F
160027;10th at 26th St (NB);NB_10th_FS_26th St;49.281989;-117.654139;WKT;West Kootenay Transit System;Castlegar
160028;14th at 37th St (SB);SB_14th_NS_37th St;49.266124;-117.660086;WKT;West Kootenay Transit System;Castlegar
160029;Tamarac at Columbia Gardens (WB);WB_Tamarac_NS_Columbia Gardens;49.10586;-117.54908;WKT;West Kootenay Transit System;Fruitvale
160030;Warfield Plant;NB_Bingay_NS_Rogers Way;49.104299;-117.737662;WKT;West Kootenay Transit System;Trail
160031;Kootenay Ave N at Pole Yard (NB);NB_Kootenay Ave N_FS_Pole Yard;49.115281;-117.545001;WKT;West Kootenay Transit System;Fruitvale
160032;Trial Walmart (EB);EB_Trial Walmart;49.08504;-117.620568;WKT;West Kootenay Transit System;Trail
160033;Highway at Cottonwood (WB);WB_Highway_FS_Cottonwood;49.097511;-117.664484;WKT;West Kootenay Transit System;Trail
160034;Highway at Cottonwood (EB);EB_Highway_NS_cottonwood;49.097416;-117.66422;WKT;West Kootenay Transit System;Trail
160035;Glover at McAnally St (EB);EB_Glover_FS_McAnally St;49.09633;-117.71753;WKT;West Kootenay Transit System;Trail
160036;Carnation at Woodland (EB);EB_Carnation_FS_Woodland;49.097097;-117.655904;WKT;West Kootenay Transit System;Trail
160037;Upper Nelson Ave at Hendry (EB);EB_Upper Nelson Ave_FS_Hendry;49.094342;-117.716174;WKT;West Kootenay Transit System;Trail
160038;Red Mountain Resort;SB_Red Mountain_4400_block;49.102546;-117.818945;WKT;West Kootenay Transit System;Rossland
160039;Airport at Hall (NB);NB_Airport_NS_Hall;49.300877;-117.636865;WKT;West Kootenay Transit System;Castlegar
160040;Schofield Hwy at Redstone Dr (EB);EB_Schofield Hwy_AT_Redstone Dr;49.077945;-117.775069;WKT;West Kootenay Transit System;Rossland
160041;Hospital Bench at Fourth (EB);EB_Hospital Bench_FS_Fourth;49.101889;-117.702021;WKT;West Kootenay Transit System;Trail
160042;Kootenay Boundary Regional Hospital (EB);EB_Kootenay Boundary Regional Hospital;49.103309;-117.700701;WKT;West Kootenay Transit System;Trail
160418;Hwy 3A at Wightwick (WB);WB_Hwy 3A_NS_Wightwick;49.616003;-117.035019;WKT;West Kootenay Transit System;Central Kootenay E
160044;Schofield Hwy at Cemetery (WB);WB_Schofield Hwy_AT_Cemetery;49.076238;-117.779727;WKT;West Kootenay Transit System;Rossland
160045;Schofield Hwy at Wellington (EB);EB_Schofield Hwy_NS_Wellington;49.098175;-117.732438;WKT;West Kootenay Transit System;Warfield
160046;Schofield Hwy at Wellington (WB);WB_Schofield Hwy_AT_Wellington;49.098424;-117.73317;WKT;West Kootenay Transit System;Warfield
160421;Hwy 3A at Kane (WB);WB_Hwy 3A_FS_Kane;49.600099;-117.174054;WKT;West Kootenay Transit System;Central Kootenay F
160048;Hospital Bench at Frances Moran (NB);NB_Hospital Bench_NS_Frances Moran;49.103165;-117.699511;WKT;West Kootenay Transit System;Trail
160413;Balfour Ferry at Hwy 3A (SB);SB_Balfour Ferry_FS_Hwy 3A;49.625076;-116.959527;WKT;West Kootenay Transit System;Central Kootenay E
160050;St Paul St at 5th (SB);SB_St Paul St_NS_5th;49.081941;-117.796469;WKT;West Kootenay Transit System;Rossland
160051;Jubilee St at 4th (EB);EB_Jubilee St_FS_4th;49.080853;-117.799369;WKT;West Kootenay Transit System;Rossland
160052;Butte St at Columbia (SB);SB_Butte St_NS_Columbia;49.076734;-117.793835;WKT;West Kootenay Transit System;Rossland
160053;2nd at St Paul St (EB);EB_2nd_FS_St Paul St;49.07912;-117.796025;WKT;West Kootenay Transit System;Rossland
160054;St Paul at 3rd (SB);SB_St Paul_NS_3rd;49.080139;-117.796559;WKT;West Kootenay Transit System;Rossland
160055;Washington St at 3rd (NB);NB_Washington St_NS_3rd;49.079879;-117.799883;WKT;West Kootenay Transit System;Rossland
160056;Columbia at St Paul St (WB);WB_Columbia_NS_St Paul St;49.076815;-117.796676;WKT;West Kootenay Transit System;Rossland
160057;Columbia at Spokane St (EB);EB_Columbia_FS_Spokane St;49.07695;-117.801648;WKT;West Kootenay Transit System;Rossland
160058;Columbia at Spokane St (WB);WB_Columbia_NS_Spokane St;49.077115;-117.801861;WKT;West Kootenay Transit System;Rossland
160059;Columbia at Hwy 3B (EB);EB_Columbia_NS_Hwy 3B;49.077231;-117.807908;WKT;West Kootenay Transit System;Rossland
160060;Nevada St at Kootenay (NB);NB_Nevada St_NS_Kootenay;49.075494;-117.810308;WKT;West Kootenay Transit System;Rossland
160061;Nevada St at Kootenay (SB);SB_Nevada St_FS_Kootenay;49.075494;-117.810428;WKT;West Kootenay Transit System;Rossland
160062;Thompson at Irwin (WB);WB_Thompson_FS_Irwin;49.072099;-117.791917;WKT;West Kootenay Transit System;Rossland
160063;Thompson at St Paul St (WB);WB_Thompson_NS_St Paul St;49.073647;-117.7969;WKT;West Kootenay Transit System;Rossland
160064;Thompson at St Paul St (EB);EB_Thompson_FS_St Paul St;49.073513;-117.796911;WKT;West Kootenay Transit System;Rossland
